gvkey,adate,qdate,public_date,bm,evm
16721,20120331,20121231,20130228,0.448,12.675
16721,20120331,20121231,20130331,0.448,12.675
16721,20120331,20121231,20130430,0.448,12.675
16721,20130331,20130331,20130531,0.424,18.176
16721,20130331,20130331,20130630,0.424,18.176
16721,20130331,20130331,20130731,0.424,18.176
16721,20130331,20130630,20130831,0.354,16.719
16721,20130331,20130630,20130930,0.354,16.719
16721,20130331,20130630,20131031,0.354,16.719
16721,20130331,20130930,20131130,0.29,14.909
16721,20130331,20130930,20131231,0.29,14.909
24856,20081231,20090930,20100131,0.135,13.496
24856,20091231,20091231,20100228,0.164,10.842
24856,20091231,20091231,20100331,0.164,10.842
24856,20091231,20091231,20100430,0.164,10.842
24856,20091231,20100331,20100531,0.179,10.376
24856,20091231,20100331,20100630,0.179,10.376
24856,20091231,20100331,20100731,0.179,10.376
24856,20091231,20100630,20100831,0.223,9.136
24856,20091231,20100630,20100930,0.223,9.136
24856,20091231,20100630,20101031,0.223,9.136
24856,20091231,20100930,20101130,0.197,8.343
24856,20091231,20100930,20101231,0.197,8.343
24856,20091231,20100930,20110131,0.197,8.343
24856,20101231,20101231,20110228,0.202,7.629
24856,20101231,20101231,20110331,0.202,7.629
24856,20101231,20101231,20110430,0.202,7.629
24856,20101231,20110331,20110531,0.177,8.399
24856,20101231,20110331,20110630,0.177,8.399
24856,20101231,20110331,20110731,0.177,8.399
24856,20101231,20110630,20110831,0.188,8.648
24856,20101231,20110630,20110930,0.188,8.648
24856,20101231,20110630,20111031,0.188,8.648
24856,20101231,20110930,20111130,0.209,8.635
24856,20101231,20110930,20111231,0.209,8.635
24856,20101231,20110930,20120131,0.209,8.635
24856,20111231,20111231,20120229,0.219,9.594
24856,20111231,20111231,20120331,0.219,9.594
24856,20111231,20111231,20120430,0.219,9.594
24856,20111231,20120331,20120531,0.197,9.361
24856,20111231,20120331,20120630,0.197,9.361
24856,20111231,20120331,20120731,0.197,9.361
24856,20111231,20120630,20120831,0.206,9.948
24856,20111231,20120630,20120930,0.206,9.948
24856,20111231,20120630,20121031,0.206,9.948
24856,20111231,20120930,20121130,0.171,11.234
24856,20111231,20120930,20121231,0.171,11.234
24856,20111231,20120930,20130131,0.171,11.234
24856,20121231,20121231,20130228,0.167,14.376
24856,20121231,20121231,20130331,0.167,14.376
24856,20121231,20121231,20130430,0.167,14.376
24856,20121231,20130331,20130531,0.138,14.113
24856,20121231,20130331,20130630,0.138,14.113
24856,20121231,20130331,20130731,0.138,14.113
24856,20121231,20130630,20130831,0.143,15.849
24856,20121231,20130630,20130930,0.143,15.849
24856,20121231,20130630,20131031,0.143,15.849
24856,20121231,20130930,20131130,0.114,17.973
24856,20121231,20130930,20131231,0.114,17.973
24978,20081231,20090930,20100131,1.5,32.193
24978,20091231,20091231,20100228,1.187,37.822
24978,20091231,20091231,20100331,1.187,37.822
24978,20091231,20091231,20100430,1.187,37.822
24978,20091231,20100331,20100531,1.29,15.511
24978,20091231,20100331,20100630,1.29,15.511
24978,20091231,20100331,20100731,1.29,15.511
24978,20091231,20100630,20100831,1.9,10.889
24978,20091231,20100630,20100930,1.9,10.889
24978,20091231,20100630,20101031,1.9,10.889
24978,20091231,20100930,20101130,1.616,12.827
24978,20091231,20100930,20101231,1.616,12.827
24978,20091231,20100930,20110131,1.616,12.827
24978,20101231,20101231,20110228,1.071,17.921
24978,20101231,20101231,20110331,1.071,17.921
24978,20101231,20101231,20110430,1.071,17.921
24978,20101231,20110331,20110531,1.614,14.682
24978,20101231,20110331,20110630,1.614,14.682
24978,20101231,20110331,20110731,1.614,14.682
24978,20101231,20110630,20110831,1.663,48.261
24978,20101231,20110630,20110930,1.663,48.261
24978,20101231,20110630,20111031,1.663,48.261
24978,20101231,20110930,20111130,1.794,47.048
24978,20101231,20110930,20111231,1.794,47.048
24978,20101231,20110930,20120131,1.794,47.048
24978,20111231,20111231,20120229,1.117,-314
24978,20111231,20111231,20120331,1.117,-314
24978,20111231,20111231,20120430,1.117,-314
24978,20111231,20120331,20120531,1.292,-94.552
24978,20111231,20120331,20120630,1.292,-94.552
24978,20111231,20120331,20120731,1.292,-94.552
24978,20111231,20120630,20120831,1.476,91.517
24978,20111231,20120630,20120930,1.476,91.517
24978,20111231,20120630,20121031,1.476,91.517
24978,20111231,20120930,20121130,0.97,-38.87
24978,20111231,20120930,20121231,0.97,-38.87
24978,20111231,20120930,20130131,0.97,-38.87
24978,20121231,20121231,20130228,0.673,-18.304
24978,20121231,20121231,20130331,0.673,-18.304
24978,20121231,20121231,20130430,0.673,-18.304
24978,20121231,20130331,20130531,0.818,-42.18
24978,20121231,20130331,20130630,0.818,-42.18
24978,20121231,20130331,20130731,0.818,-42.18
24978,20121231,20130630,20130831,0.831,-41.873
24978,20121231,20130630,20130930,0.831,-41.873
24978,20121231,20130630,20131031,0.831,-41.873
24978,20121231,20130930,20131130,0.695,39.099
24978,20121231,20130930,20131231,0.695,39.099
64102,20081231,20090930,20100131,0.692,5.737
64102,20091231,20091231,20100228,0.852,6.001
64102,20091231,20091231,20100331,0.852,6.001
64102,20091231,20091231,20100430,0.852,6.001
64102,20091231,20100331,20100531,0.728,5.888
64102,20091231,20100331,20100630,0.728,5.888
64102,20091231,20100331,20100731,0.728,5.888
64102,20091231,20100630,20100831,0.713,5.818
64102,20091231,20100630,20100930,0.713,5.818
64102,20091231,20100630,20101031,0.713,5.818
64102,20091231,20100930,20101130,0.594,6.643
64102,20091231,20100930,20101231,0.594,6.643
64102,20091231,20100930,20110131,0.594,6.643
64102,20101231,20101231,20110228,0.529,8.417
64102,20101231,20101231,20110331,0.529,8.417
64102,20101231,20101231,20110430,0.529,8.417
64102,20101231,20110331,20110531,0.617,7.242
64102,20101231,20110331,20110630,0.617,7.242
64102,20101231,20110331,20110731,0.617,7.242
64102,20101231,20110630,20110831,0.608,8.256
64102,20101231,20110630,20110930,0.608,8.256
64102,20101231,20110630,20111031,0.608,8.256
64102,20101231,20110930,20111130,0.624,9.785
64102,20101231,20110930,20111231,0.624,9.785
64102,20101231,20110930,20120131,0.624,9.785
64102,20111231,20111231,20120229,0.661,9.652
64102,20111231,20111231,20120331,0.661,9.652
64102,20111231,20111231,20120430,0.661,9.652
64102,20111231,20120331,20120531,0.52,9.871
64102,20111231,20120331,20120630,0.52,9.871
64102,20111231,20120331,20120731,0.52,9.871
64102,20111231,20120630,20120831,0.419,9.638
64102,20111231,20120630,20120930,0.419,9.638
64102,20111231,20120630,20121031,0.419,9.638
64102,20111231,20120930,20121130,0.483,8.06
64102,20111231,20120930,20121231,0.483,8.06
64102,20111231,20120930,20130131,0.483,8.06
64102,20121231,20121231,20130228,0.442,8.93
64102,20121231,20121231,20130331,0.442,8.93
64102,20121231,20121231,20130430,0.442,8.93
64102,20121231,20130331,20130531,0.377,9.522
64102,20121231,20130331,20130630,0.377,9.522
64102,20121231,20130331,20130731,0.377,9.522
64102,20121231,20130630,20130831,0.358,10.623
64102,20121231,20130630,20130930,0.358,10.623
64102,20121231,20130630,20131031,0.358,10.623
64102,20121231,20130930,20131130,0.297,11.39
64102,20121231,20130930,20131231,0.297,11.39
