date,mktrf,smb,hml,rmw,cma,rf
199805,-3.07,-3.11,4.15,0.9,2.54,0.4
199806,3.18,-3.63,-2.34,-0.18,-2.9,0.41
199807,-2.46,-5.29,-0.98,2.01,0.46,0.4
199808,-16.08,-5.03,3.39,3.2,5.85,0.43
199809,6.15,-0.88,-3.26,-2.04,-2.91,0.46
199810,7.13,-3.51,-2.2,0.74,0.29,0.32
199811,6.1,0.64,-3.13,-1.05,-1.14,0.31
199812,6.16,-1.53,-4.45,-0.96,-3.35,0.38
199901,3.5,-0.77,-4.03,-2.67,-6.88,0.35
199902,-4.08,-5.04,1.37,-1.09,4.06,0.35
199903,3.45,-4.33,-2.65,-4.31,-1.37,0.43
199904,4.33,4.6,2.54,-2.61,0.94,0.37
199905,-2.46,3.76,2.33,1.06,3.31,0.34
199906,4.77,2.26,-3.58,1.41,-3.39,0.4
199907,-3.47,2.53,-0.8,0.42,3.14,0.38
199908,-1.38,-1.9,-1.27,-0.3,0.4,0.39
199909,-2.81,2.59,-3.37,-0.83,-1.02,0.39
199910,6.13,-7.05,-2.97,-1.97,-1.18,0.39
199911,3.37,5.91,-6.51,-4.36,-1.49,0.36
199912,7.72,5.57,-8.69,-7.79,-5.06,0.44
200001,-4.74,4.27,-0.45,-5.69,4.77,0.41
200002,2.45,18.73,-10.49,-19.11,0.16,0.43
200003,5.2,-15.28,7.86,12.39,-1.67,0.47
200004,-6.4,-5.6,8.57,7.26,5.23,0.46
200005,-4.42,-3.53,2.39,4.62,0.9,0.5
200006,4.64,10.47,-10.03,-7.77,-2.83,0.4
200007,-2.51,-0.92,8.15,6.23,2.98,0.48
200008,7.03,-1.08,-0.69,-3.09,0.64,0.5
200009,-5.45,0.22,6.23,3.23,6.39,0.51
200010,-2.76,-2.78,5.55,9.75,4.65,0.56
200011,-10.72,-0.38,11.29,13.52,8.5,0.51
200012,1.19,3.15,7.3,1.95,5.71,0.5
200101,3.13,5.73,-4.88,-4.9,-6.55,0.54
200102,-10.05,2.74,12.91,9.48,9.55,0.38
200103,-7.26,2.4,6.49,3.53,3.95,0.42
200104,7.94,-0.71,-4.69,-3.06,-3.98,0.39
200105,0.72,3.61,3.13,0.34,2.22,0.32
200106,-1.94,6.57,-1.09,1.66,-1.8,0.28
200107,-2.13,-2.84,5.61,7.51,3.06,0.3
200108,-6.46,2.73,2.56,3.88,6.57,0.31
200109,-9.25,-5.57,1.56,5.36,3.25,0.28
200110,2.46,5.32,-8.02,-2.85,-4.56,0.22
200111,7.54,-0.36,2,-3.94,-1.64,0.17
200112,1.61,5.12,1.08,0.4,-0.28,0.15
200201,-1.44,1.2,3.35,4.36,2.88,0.14
200202,-2.29,-0.46,2.51,7.8,5.14,0.13
200203,4.24,4.25,1.11,-1.59,0.6,0.13
200204,-5.2,6.61,3.92,4.26,5.38,0.15
200205,-1.38,-3.05,1.7,2.29,2.44,0.14
200206,-7.21,3.79,0.12,3.95,2.55,0.13
200207,-8.18,-6.29,-3.52,3.99,-0.7,0.15
200208,0.5,-1.23,2.53,1.44,-1.6,0.14
200209,-10.35,3.06,1.26,3.19,-2.28,0.14
200210,7.84,-4.08,-5.4,-3.16,0.92,0.14
200211,5.96,2.9,-0.95,-9.55,5.01,0.12
200212,-5.76,0.54,2.21,6.16,-1.62,0.11
200301,-2.57,0.86,-0.83,-0.66,0.71,0.1
200302,-1.88,-0.89,-1.47,1.1,-0.52,0.09
200303,1.09,0.67,-1.93,1.89,-0.77,0.1
200304,8.22,1.03,1.11,-4.68,1.01,0.1
200305,6.05,4.88,-0.1,-7.16,3.14,0.09
