public_date,FFI48_desc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,pe_exi_Median,gpm_Median,roe_Median,totdebt_invcap_Median,rd_sale_Median,adv_sale_Median
20100331,BANKS,563,0.061982,0.092568,0.467,1.321,7.287,0.487,0.016,0.697,0.000,0.009
20100331,BEER,9,0.058874,0.059005,0.234,0.723,18.160,0.506,0.105,0.248,0.000,0.071
20100331,BLDMT,53,0.096068,0.090369,0.310,0.791,14.984,0.291,0.016,0.272,0.005,0.000
20100331,BOOKS,24,0.053312,0.050747,0.115,0.832,6.819,0.541,0.030,0.559,0.000,0.009
20100331,BOXES,10,0.077106,0.067070,0.098,0.471,13.818,0.233,0.175,0.669,0.003,0.000
20100331,BUSSV,407,0.092372,0.050416,0.000,0.485,13.125,0.536,0.039,0.059,0.008,0.000
20100331,CHEMS,77,0.067629,0.076839,0.201,0.501,13.840,0.330,0.073,0.400,0.014,0.000
20100331,CHIPS,239,0.079608,0.079408,0.000,0.628,-1.444,0.397,-0.027,0.061,0.113,0.000
20100331,CLTHS,47,0.157330,0.115465,0.000,0.616,15.668,0.447,0.112,0.040,0.000,0.022
20100331,CNSTR,44,0.055011,0.058249,0.000,0.749,3.618,0.149,0.011,0.266,0.000,0.000
20100331,COAL,14,0.028117,0.017069,0.000,0.506,19.619,0.235,0.127,0.424,0.000,0.000
20100331,COMPS,136,0.063454,0.086310,0.000,0.469,11.688,0.535,0.021,0.048,0.120,0.000
20100331,DRUGS,285,0.080628,0.030258,0.000,0.266,-2.975,0.359,-0.255,0.042,0.367,0.000
20100331,ELCEQ,68,0.087646,0.071307,0.000,0.693,8.764,0.313,0.024,0.172,0.031,0.000
20100331,FABPR,9,0.028500,0.009688,0.000,0.744,9.586,0.363,0.127,0.069,0.006,0.000
20100331,FIN,113,0.058599,0.071484,0.076,0.535,15.514,0.306,0.056,0.306,0.000,0.000
20100331,FOOD,63,0.065906,0.045435,0.128,0.505,14.897,0.311,0.131,0.370,0.000,0.005
